date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 01:11:24,EmmanuelScatu,,0,0,1,"""Nunca antes hemos visto una pandemia provocada por un #coronavirus. Y nunca antes hemos visto una pandemia que se puede controlar"" La ONU declara la pandemia por #COVID19 @DrTedros https://twitter.com/NoticiasONU/status/1237777378283270145",,@DrTedros,#coronavirus #COVID19,1237909019500650498,https://twitter.com/EmmanuelScatu/status/1237909019500650498
2020-03-12 00:54:01,carlosuzquiza,,0,0,0,"Quería preguntarles @alferdez @ginesggarcia Si tenían huevos para suspender @lollapaloozaar ? #Coronavid19 #COVID19",,@alferdez @ginesggarcia @lollapaloozaar,#Coronavid19 #COVID19,1237904648247312386,https://twitter.com/carlosuzquiza/status/1237904648247312386
2020-03-12 00:41:12,claudiazarlenga,grupoeldeber,0,0,0,"¿Lamenta y algo más o sólo lamenta? ¿Qué acciones van a tomar? ¿Cuáles ya tomaron? #CoronavirusBolivia #COVID19 #Bolivia @GobSantaCruz @diarioeldeber",,@GobSantaCruz @diarioeldeber,#CoronavirusBolivia #COVID19 #Bolivia,1237901421808365569,https://twitter.com/claudiazarlenga/status/1237901421808365569
2020-03-12 00:21:45,capatinoficial,,1,0,6," Decisión del Consejo Directivo de la CAP acerca de la problemática actual del COVID-19 . ",,,,1237896527458099200,https://twitter.com/capatinoficial/status/1237896527458099200
2020-03-12 00:20:35,INAESarg,,0,4,4,"Nuevo coronavirus COVID-19 Información sobre cuidados, medidas de prevención, síntomas y recomendaciones del @msalnacion + info: https://argentina.gob.ar/salud/coronavirus-COVID-19 https://twitter.com/msalnacion/status/1237891029992222723",,@msalnacion,,1237896233378656256,https://twitter.com/INAESarg/status/1237896233378656256
2020-03-12 00:15:04,MarcelaChitiva,,0,1,1,"Ciencia y medicina frente al COVID19: *Colapsados y trabajando duro en educar cómo prevenir y en desarrollar una posible vacuna* Religión frente al COVID19: ",,,,1237894844061601792,https://twitter.com/MarcelaChitiva/status/1237894844061601792
2020-03-12 00:11:06,MarcelaChitiva,,0,1,17,"Todos los infectados de COVID19 en Argentina, todos vinieron de un viaje a Europa, ninguna de Asia o China. Después de toda la discriminación que les hicieron a los Asiáticos, y los Arg se contagiaron de los países de sus ancestros. Sorry pero KARMA IS A BITCH.",,,,1237893847679565831,https://twitter.com/MarcelaChitiva/status/1237893847679565831
2020-03-12 00:03:39,VidaDiocesana,,0,0,1,"Carta Pastoral ante la situación sanitaria que se está viviendo en todo el país por la propagación del corona virus (COVID 19) en Vida Diocesana - Obispado de Merlo-Moreno https://www.instagram.com/p/B9nN9IyFyqN/?igshid=h2in65ykicsw",,,,1237891970309042177,https://twitter.com/VidaDiocesana/status/1237891970309042177
2020-03-12 00:03:04,gusttimax,msalnacion,0,1,1,"Video del Ministerio de Salud Argentina de cómo saber para prevenir el nuevo coronavirus COVID-19. ",,,,1237891825261658114,https://twitter.com/gusttimax/status/1237891825261658114
2020-03-11 23:48:20,refaduba,,0,4,5,"COMO CUIDARTE Y PREVENIR EL CO-VID 19 EN LA FACULTAD Te dejamos un par de consejos para prevenir ser infectado por Coronavirus en la facultad. Si viajaste hace poco a los países de infección, es IMPORTANTÍSIMO que no vengas durante quince días. #FADU #UBA #CBC #COVID19 – at Facultad de Arquitectura, Diseño y Urbanismo (FADU - UBA)",,,#FADU #UBA #CBC #COVID19,1237888116360269826,https://twitter.com/refaduba/status/1237888116360269826
2020-03-11 23:47:55,fedkukso,ValeriaRoman,1,8,26,"Hoy a las 23 (hora argentina) escucha la mejor cobertura sobre #COVID19 de la mano de especialistas: la periodista científica @ValeriaRoman en @cnnradioarg",,@ValeriaRoman @cnnradioarg,#COVID19,1237888013213921280,https://twitter.com/fedkukso/status/1237888013213921280
